Geograghy,AllDeaths,Covid19Deaths,AllDeathsPer100k,Covid19DeathsPer100k,population,percentage_male,percentage_female,percentage_in_houshold,percentage_in_communal,population_density,EthnicWhiteUK,EthnicWhiteIrish,EthnicWhiteGypsy,EthnicWhiteOther,EthnicMixedWBC,EthnicMixedWBA,EthnicMixedWA,EthnicMixedOther,EthnicAsianBI,EthnicAsianBP,EthnicAsianBB,EthnicAsianBC,EthnicAsianOther,EthnicBlackAfrican,EthnicBlackCaribbean,EthnicBlackOther,EthnicArab,EthnicOther,CH4,CO2,HFC,N2O,NF3,PFC,SF6,CO,NMVOC,PM10,PM2.5
E06000002,34,10,24.564344,7.224807,138412,48.900000,51.100000,98.400000,1.600000,25.700000,86.100000,0.400000,0.100000,1.700000,0.400000,0.300000,0.700000,0.300000,1.100000,4.900000,0.200000,0.700000,1.000000,1.100000,0.100000,0.100000,0.700000,0.400000,0.541519,35.327221,2.250262,0.567684,0.000100,0.064260,0.047948,0.117609,0.068797,0.013644,0.007552
E06000003,76,40,56.222582,29.590833,135177,48.600000,51.400000,99.100000,0.900000,5.500000,97.600000,0.300000,0.100000,0.600000,0.200000,0.100000,0.200000,0.100000,0.100000,0.200000,0.100000,0.100000,0.200000,0.100000,0.000000,0.000000,0.000000,0.100000,0.841521,39.826573,2.277963,0.685139,0.000131,0.084420,0.060272,0.138685,0.085614,0.016011,0.008947
E06000004,50,17,26.094671,8.872188,191610,49.100000,50.900000,98.100000,1.900000,9.400000,93.400000,0.300000,0.100000,0.900000,0.200000,0.200000,0.400000,0.200000,0.800000,1.600000,0.100000,0.500000,0.600000,0.500000,0.000000,0.100000,0.100000,0.200000,1.002416,59.684701,3.612875,0.923887,0.000197,0.126711,0.092957,0.205018,0.125645,0.023250,0.013301
E06000005,52,15,49.259217,14.209390,105564,48.800000,51.200000,98.600000,1.400000,5.300000,93.700000,0.300000,0.300000,1.900000,0.400000,0.100000,0.300000,0.200000,0.700000,0.100000,0.500000,0.300000,0.400000,0.200000,0.100000,0.000000,0.100000,0.100000,0.588257,32.831539,2.036217,0.594147,0.000111,0.071286,0.051330,0.112210,0.070194,0.012785,0.007515
E06000006,39,13,31.014903,10.338301,125746,48.800000,51.200000,99.300000,0.700000,15.900000,96.400000,0.500000,0.000000,0.900000,0.400000,0.200000,0.300000,0.200000,0.200000,0.000000,0.000000,0.200000,0.200000,0.100000,0.100000,0.000000,0.000000,0.100000,0.916035,46.873339,2.672427,0.642312,0.000163,0.104675,0.068513,0.151492,0.097293,0.017075,0.010688
E06000007,52,31,25.713551,15.329232,202228,49.600000,50.400000,98.300000,1.700000,11.200000,92.900000,0.700000,0.000000,2.300000,0.300000,0.200000,0.300000,0.200000,0.900000,0.600000,0.100000,0.400000,0.500000,0.200000,0.100000,0.000000,0.100000,0.100000,1.711955,67.713771,4.283802,1.037608,0.000198,0.127616,0.091884,0.213787,0.130660,0.024523,0.014528
E06000008,80,41,54.241333,27.798683,147489,49.900000,50.100000,98.900000,1.100000,10.800000,66.500000,0.500000,0.100000,2.000000,0.200000,0.100000,0.700000,0.200000,13.400000,12.100000,1.000000,0.500000,1.100000,0.400000,0.100000,0.100000,0.400000,0.400000,0.549937,49.925729,2.815826,0.661224,0.000220,0.141720,0.081210,0.175892,0.119395,0.018904,0.012424
E06000009,36,14,25.340513,9.854644,142065,49.100000,50.900000,97.100000,2.900000,40.700000,93.600000,0.700000,0.200000,2.100000,0.500000,0.200000,0.300000,0.200000,0.400000,0.200000,0.200000,0.400000,0.500000,0.100000,0.100000,0.000000,0.100000,0.100000,0.389769,36.768376,2.481660,0.545476,0.000111,0.071462,0.060577,0.123104,0.073021,0.013877,0.007997
E06000011,70,22,20.946858,6.583298,334179,48.900000,51.100000,97.800000,2.200000,1.400000,96.100000,0.300000,0.100000,1.600000,0.200000,0.100000,0.200000,0.100000,0.300000,0.100000,0.000000,0.200000,0.200000,0.100000,0.100000,0.000000,0.100000,0.100000,5.522733,113.531468,6.487056,3.841485,0.000402,0.258604,0.184247,0.402293,0.272859,0.047437,0.026908
E06000012,117,31,73.300922,19.421612,159616,49.000000,51.000000,98.900000,1.100000,8.300000,95.400000,0.300000,0.000000,1.700000,0.200000,0.100000,0.200000,0.200000,0.300000,0.100000,0.200000,0.400000,0.300000,0.200000,0.000000,0.000000,0.200000,0.100000,0.821164,66.340689,3.478243,0.945586,0.000250,0.160582,0.092197,0.220341,0.144227,0.024865,0.015721
